SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
53478,47564,6005-4C44-A8,2,868,1,41.994,0,83.988,74DA41E2-8109-4E49-AB75-0D66C98F8219,00:00.0
53478,47565,6005-4C44-A8,4,869,1,41.994,0,167.976,1D5C2979-786E-4FCE-90EA-47C5F561140E,00:00.0
53478,47566,6005-4C44-A8,1,908,1,16.272,0,16.272,2EF1E518-A9D7-40B4-8D21-56E4745D04AA,00:00.0
53478,47567,6005-4C44-A8,2,904,1,218.454,0,436.908,2635ECD3-8D66-4367-ADEB-0FE22B507E11,00:00.0
53478,47568,6005-4C44-A8,2,711,1,20.994,0,41.988,53C3450A-0D65-46AB-8DFC-349F6873F252,00:00.0
53478,47569,6005-4C44-A8,4,936,1,37.254,0,149.016,CB076DD1-CB04-4C9D-A7FA-E5B3A264B550,00:00.0
53478,47570,6005-4C44-A8,2,780,1,1391.994,0,2783.988,A91AF097-2B89-4700-90CD-E3F196614CA5,00:00.0
53478,47571,6005-4C44-A8,2,742,1,818.7,0,1637.4,BD59C4D4-E188-48EF-964B-076B567A0340,00:00.0
53478,47572,6005-4C44-A8,2,748,1,818.7,0,1637.4,61A279A1-1FB1-4C93-AA73-4643BE5BF938,00:00.0
53478,47573,6005-4C44-A8,6,952,1,12.144,0,72.864,657AB139-A241-46E1-BA04-6305E450D2C8,00:00.0
53478,47574,6005-4C44-A8,1,985,1,338.994,0,338.994,6642DADF-9927-4903-8599-9E2AB32B4438,00:00.0
53478,47575,6005-4C44-A8,1,949,1,105.294,0,105.294,A7FB7732-DB2C-4278-85CB-09963EB89AC6,00:00.0
53478,47576,6005-4C44-A8,2,809,1,37.152,0,74.304,1EB2788B-A6AD-4EB2-A962-BCCC447C8EF5,00:00.0
53478,47577,6005-4C44-A8,3,747,1,809.76,0,2429.28,9FDDF50E-00D7-423C-8286-ECEE6DF7E916,00:00.0
53478,47578,6005-4C44-A8,1,739,1,818.7,0,818.7,6B0B5F0D-B62F-496B-B2D8-66C7A2D53B9B,00:00.0
53478,47579,6005-4C44-A8,1,987,1,338.994,0,338.994,829587C0-1640-4BE2-B9CC-8B6638190481,00:00.0
53478,47580,6005-4C44-A8,2,784,1,1376.994,0,2753.988,7588902B-4945-486D-9352-5DD63DC24FA7,00:00.0
53479,47581,0F6A-4DE7-BC,3,860,1,14.694,0,44.082,8FE96A21-3F81-47DD-8862-FDDA650449A3,00:00.0
53479,47582,0F6A-4DE7-BC,1,950,1,153.894,0,153.894,BC6E4334-1404-4C2A-ACA2-177C5FFCC6AE,00:00.0
53479,47583,0F6A-4DE7-BC,1,946,1,27.654,0,27.654,832BBBAF-BB26-4FE8-B4AA-CCFE48E38D03,00:00.0
53480,47584,36E1-4FCF-B4,1,935,1,24.294,0,24.294,84B1DD15-1868-4AB0-9419-53B3ADA1FF73,00:00.0
53480,47585,36E1-4FCF-B4,2,989,1,323.994,0,647.988,4A0FB347-3F03-4FE9-AE4C-B26C77F3DB5E,00:00.0
53480,47586,36E1-4FCF-B4,4,870,1,2.994,0,11.976,5A2F4091-D9CB-4AC2-AEB5-4DD341EBB19D,00:00.0
53480,47587,36E1-4FCF-B4,4,990,1,323.994,0,1295.976,128B0484-6422-448B-8DAF-4A80005BACA5,00:00.0
53480,47588,36E1-4FCF-B4,2,782,1,1376.994,0,2753.988,32D4A5E7-BA98-4FAD-ADC3-3786017599CE,00:00.0
53480,47589,36E1-4FCF-B4,4,904,1,218.454,0,873.816,6DDD4C09-1BB0-4622-8804-C6AEDD0630CA,00:00.0
53480,47590,36E1-4FCF-B4,3,859,1,14.694,0,44.082,50836E09-F38F-4A01-8631-0F9D34DCC743,00:00.0
53480,47591,36E1-4FCF-B4,3,937,1,48.594,0,145.782,697F3CEF-0ABA-4F79-A005-55BB4B2C1789,00:00.0
53480,47592,36E1-4FCF-B4,6,880,1,32.994,0,197.964,BA37AC8D-7FC4-4EFD-AE55-91CB01D5FDD3,00:00.0
53480,47593,36E1-4FCF-B4,2,711,1,20.994,0,41.988,BE65DD21-DA2B-4AAF-90D8-041684D540A5,00:00.0
53480,47594,36E1-4FCF-B4,1,881,1,32.394,0,32.394,EBEC1623-3F8A-473D-8FBE-0BD82D72214F,00:00.0
53480,47595,36E1-4FCF-B4,4,980,1,461.694,0,1846.776,DC583B8D-C770-424E-B759-E538F4D677D9,00:00.0
53480,47596,36E1-4FCF-B4,8,707,1,20.994,0,167.952,1A0AC3ED-FE1C-4CF0-8B3F-1C6C3F9BD8B7,00:00.0
53480,47597,36E1-4FCF-B4,5,739,1,818.7,0,4093.5,C26E2FC6-490B-4C39-989E-2040E4E896F0,00:00.0
53480,47598,36E1-4FCF-B4,25,869,4,34.995,0.1,787.3875,71B1530C-8196-4F4E-8987-2D3F49B7B2AA,00:00.0
53480,47599,36E1-4FCF-B4,1,925,1,149.874,0,149.874,7ED7339B-B309-4BB9-84B1-A138121041FA,00:00.0
53480,47600,36E1-4FCF-B4,4,924,1,149.874,0,599.496,7C9951A5-1E01-4040-9C30-16BDDC6439E9,00:00.0
53480,47601,36E1-4FCF-B4,1,809,1,37.152,0,37.152,96DF2616-AA31-455B-AFCA-7C80D60850D1,00:00.0
53480,47602,36E1-4FCF-B4,2,986,1,338.994,0,677.988,E2E689F3-C7BC-468B-9E95-2F8D3B8B641B,00:00.0
53480,47603,36E1-4FCF-B4,8,716,1,29.994,0,239.952,556234CC-0857-46F0-B9D1-B76EA6B9A72E,00:00.0
53480,47604,36E1-4FCF-B4,4,905,1,218.454,0,873.816,D6A1C4DE-4B0F-47B3-8F20-715D08D75E99,00:00.0
53480,47605,36E1-4FCF-B4,2,917,1,158.43,0,316.86,00DE5CBA-E144-47C3-8AAF-C89622A21E08,00:00.0
53480,47606,36E1-4FCF-B4,5,779,1,1391.994,0,6959.97,D061AA47-FFAD-4BB5-A58D-1EFDC1AA8600,00:00.0
53480,47607,36E1-4FCF-B4,5,714,1,29.994,0,149.97,76F25380-4225-4B58-909B-61BD442F5848,00:00.0
53480,47608,36E1-4FCF-B4,4,858,1,14.694,0,58.776,DBB81E3A-8218-4ED9-ABB6-92BC0CBC7120,00:00.0
